imdb_title_id,total_votes,mean_vote
tt0009356,616,6.5
tt0009369,1061,7.1
tt0009440,178,6.4
tt0009475,484,6.4
tt0009559,341,6.7
tt0009608,697,7.3
tt0009611,5895,6.7
tt0009652,1360,7.4
tt0009682,684,5.9
tt0009701,309,6.7
tt0009737,109,6
tt0009796,262,6.5
tt0009878,1122,6.8
tt0009892,963,7.1
tt0009893,1631,6.8
tt0009894,168,7
tt0009900,857,6.9
tt0009915,165,7
tt0009937,1325,6.6
tt0009968,9241,7.5
tt0009976,631,6.7
tt0010040,1306,7.3
tt0010060,814,6.6
tt0010071,1122,7.7
tt0010103,646,6.5
tt0010137,697,7.5
tt0010162,203,8.2
tt0010193,671,6.5
tt0010195,254,7
tt0010208,553,5.7
tt0010219,368,6.5
tt0010227,510,6.5
tt0010247,1176,6.8
tt0010267,929,6.8
tt0010281,1230,7
tt0010298,100,6.9
tt0010307,1417,7
tt0010323,55601,7.9
tt0010418,1712,7.8
tt0010456,172,6.3
tt0010466,145,5.8
tt0010484,166,7
tt0010559,137,6.5
tt0010598,776,6.1
tt0010600,1669,7
tt0010635,594,6.6
tt0010662,420,6.5
tt0010680,237,5.8
tt0010726,1051,6.4
tt0010755,157,6.9
tt0010806,1599,7.2
tt0010821,447,6
tt0010844,331,6.4
tt0010853,152,6.8
tt0010879,775,7
tt0010890,337,6.2
tt0010925,722,6.4
tt0010953,138,6.7
tt0010962,576,6.8
tt0010964,129,8.4
tt0010969,315,6.9
tt0011000,1083,6.8
tt0011130,4753,7.1
tt0011157,717,6.7
tt0011173,123,6.3
tt0011193,291,6.9
tt0011217,308,6.7
tt0011221,848,6
tt0011237,6577,7.2
tt0011267,260,5.4
tt0011294,165,7.2
tt0011302,187,6.9
tt0011317,135,6.6
tt0011344,105,6.7
tt0011358,332,6.5
tt0011369,113,8.6
tt0011370,323,7.1
tt0011371,264,6.8
tt0011387,1102,6.9
tt0011414,142,6.8
tt0011415,105,6.2
tt0011439,2145,7.3
tt0011440,195,6.4
tt0011474,129,6.4
tt0011513,189,6.2
tt0011588,355,6.7
tt0011607,1032,7.2
tt0011623,149,8.4
tt0011641,153,6.8
tt0011647,123,6.1
tt0011652,1402,6.2
tt0011679,265,6.6
tt0011716,575,7.9
tt0011723,763,6.5
tt0011741,210,6.7
tt0011742,625,6.3
tt0011753,168,5.8
tt0011779,191,6.7
tt0011833,425,6.9
tt0011837,356,6.2
tt0011841,4961,7.9
tt0011865,1321,7.9
tt0011870,2465,6.4
tt0011904,1037,7
tt0011908,101,6.3
tt0011909,1208,7.8
tt0011948,364,6.9
tt0011960,1025,7
tt0011979,497,6.8
tt0012016,170,8.2
tt0012027,875,6.7
tt0012068,415,7
tt0012122,133,5.9
tt0012125,116,7.2
tt0012134,362,6.9
tt0012136,268,7.9
tt0012187,123,6.8
tt0012190,3058,7.8
tt0012249,382,7.2
tt0012281,209,6.8
tt0012313,286,6.9
tt0012314,239,6.7
tt0012334,215,6.8
tt0012349,109038,8.2
tt0012364,10054,7.9
tt0012382,268,6.3
tt0012397,276,7
tt0012408,338,6.8
tt0012465,311,7
tt0012486,237,6.2
tt0012494,5136,7.4
tt0012513,209,6.6
tt0012532,4678,7.8
tt0012538,469,6.7
tt0012631,130,6.7
tt0012642,941,7
tt0012645,123,6.8
tt0012650,217,6.5
tt0012651,1391,6.3
tt0012675,3055,7.2
tt0012699,109,6.8
tt0012745,135,6.7
tt0012752,846,7
tt0012755,163,7
tt0012763,1722,7.9
tt0012769,133,6
tt0012806,323,6.3
tt0012928,766,7.9
tt0012938,2216,7.7
tt0012952,1234,7.2
tt0012973,566,7
tt0012975,255,7.6
tt0013033,340,6.6
tt0013059,343,6.6
tt0013075,1194,7.2
tt0013085,336,6.2
tt0013122,118,6.6
tt0013134,151,6.7
tt0013140,3072,7.1
tt0013169,360,6.7
tt0013201,1618,7.1
tt0013223,225,5
tt0013332,268,7
tt0013367,226,5.7
tt0013372,415,6.8
tt0013386,293,6.8
tt0013402,333,6.9
tt0013404,310,6.8
tt0013428,115,7
tt0013442,86620,7.9
tt0013450,706,6.9
tt0013469,233,6.5
tt0013496,1528,7
tt0013515,452,6.9
tt0013556,1971,7.4
tt0013571,807,6.7
tt0013574,101,6.9
tt0013579,842,6.9
tt0013590,101,7.8
tt0013592,365,6.6
tt0013597,551,6.1
tt0013607,158,6
tt0013619,169,6.2
tt0013662,418,7.3
tt0013674,500,7
tt0013688,642,6.8
tt0013704,118,6.8
tt0013705,136,6.2
tt0013741,443,6.6
tt0013750,968,8.2
tt0013802,366,7.3
tt0013830,119,7.1
tt0013909,319,7.3
tt0013933,1103,7.3
tt0013951,505,6.8
tt0014029,1068,7.8
tt0014108,144,7.1
tt0014109,1085,7.2
tt0014112,114,5.6
tt0014142,4711,7.3
tt0014205,893,8.2
tt0014341,9902,7.8
tt0014358,4261,7.4
tt0014397,253,6.9
tt0014416,269,6.7
tt0014417,1889,7.6
tt0014429,17795,8
tt0014440,533,7.2
tt0014446,248,6.8
tt0014463,375,6.9
tt0014497,826,7.2
tt0014516,347,7.1
tt0014524,134,6.4
tt0014532,1915,6.9
tt0014538,3949,7.1
tt0014586,1702,6.8
tt0014604,157,7.1
tt0014605,390,7
tt0014606,117,6.5
tt0014611,1532,7.4
tt0014624,4735,7.1
tt0014636,786,8
tt0014646,2303,6.7
tt0014672,344,6.4
tt0014702,407,7
tt0014721,131,6.1
tt0014760,208,7.1
tt0014770,212,6.8
tt0014826,105,5.9
tt0014854,125,7
tt0014869,611,7.8
tt0014874,119,6.5
tt0014898,530,6.8
tt0014900,741,6.6
tt0014925,125,6.5
tt0014945,3024,7.9
tt0014972,3044,7.7
tt0014982,253,7.1
tt0015002,1210,7.3
tt0015014,712,7.3
tt0015016,1898,7.3
tt0015018,292,7.5
tt0015022,665,8.3
tt0015036,145,6.7
tt0015064,12157,7.9
tt0015116,973,8
tt0015119,1061,7.4
tt0015136,1540,7.2
tt0015145,447,7.8
tt0015163,8853,7.8
tt0015167,865,6.8
tt0015174,3860,7.6
tt0015175,5082,7.7
tt0015200,104,6.9
tt0015202,2263,7.1
tt0015213,137,6.9
tt0015214,1541,7.3
tt0015224,881,7.3
tt0015268,415,7.3
tt0015289,164,6.7
tt0015310,466,7.3
tt0015312,220,7.5
tt0015324,39634,7.9
tt0015361,6877,7.5
tt0015400,5460,7.8
tt0015493,200,6.4
tt0015498,430,7.1
tt0015500,310,8.1
tt0015518,121,8.4
tt0015532,5253,7.6
tt0015624,6096,8
tt0015634,767,6.3
tt0015643,177,7.4
tt0015648,51775,7.8
tt0015684,491,6.7
tt0015687,243,6.8
tt0015693,681,7.5
tt0015758,415,7.1
tt0015768,1703,7.1
tt0015772,1718,7.2
tt0015794,133,6.4
tt0015801,310,7.1
tt0015841,4882,7.4
tt0015842,1348,7.3
tt0015847,100,6.1
tt0015861,417,6.7
tt0015863,3710,7.2
tt0015864,97480,8.1
tt0015872,151,7
tt0015881,8898,7.7
tt0015883,225,6.9
tt0015909,151,7
tt0015935,112,6.9
tt0016004,978,7.5
tt0016005,544,6.4
tt0016006,125,7.3
tt0016013,475,7.5
tt0016023,448,8.4
tt0016028,877,7.6
tt0016029,1420,7.2
tt0016039,4513,7.1
tt0016104,2126,8
tt0016123,906,6.4
tt0016142,105,6.7
tt0016185,310,7.1
tt0016201,205,6.2
tt0016205,127,7.2
tt0016220,16255,7.7
tt0016226,269,6.3
tt0016230,2111,6.1
tt0016232,190,7
tt0016240,134,6.8
tt0016241,132,3.4
tt0016258,319,7.3
tt0016276,297,6.6
tt0016288,170,6.6
