imdb_title_id,genre
tt0013688,"Drama, Family, Fantasy"
tt0013704,Drama
tt0013705,"Drama, Crime"
tt0013741,"Drama, History"
tt0013750,"Romance, Drama"
tt0013802,"Romance, Drama"
tt0013830,Drama
tt0013909,Drama
tt0013933,"Drama, Romance"
tt0013951,"Adventure, Romance, Western"
tt0014029,"Comedy, Romance"
tt0014108,Drama
tt0014109,"Drama, Romance"
tt0014112,"Adventure, Crime, Drama"
tt0014142,"Drama, Horror, Romance"
tt0014205,"Comedy, Romance"
tt0014341,"Comedy, Romance, Thriller"
tt0014358,Comedy
tt0014397,Drama
tt0014416,"Romance, Comedy"
tt0014417,Drama
tt0014429,"Action, Comedy, Thriller"
tt0014440,"Drama, Romance"
tt0014446,"Drama, Romance"
tt0014463,Drama
tt0014497,"Comedy, Drama, Romance"
tt0014516,Drama
tt0014524,Drama
tt0014532,"Biography, Drama, Fantasy"
tt0014538,Comedy
tt0014586,"Fantasy, Horror"
tt0014604,"Drama, Romance"
tt0014605,"Drama, Romance"
tt0014606,"Crime, Drama, Mystery"
tt0014611,"Adventure, Comedy, Family"
tt0014624,"Drama, Romance"
tt0014636,"Romance, Drama"
tt0014646,"Adventure, Comedy, Drama"
tt0014672,"Drama, History, War"
tt0014702,"Drama, History, Romance"
tt0014721,"Drama, Romance, Sci-Fi"
tt0014760,Drama
tt0014770,"Adventure, Drama"
tt0014826,"Drama, Horror, Romance"
tt0014854,"Drama, History, Romance"
tt0014869,Drama
tt0014874,Drama
tt0014898,"Drama, Romance"
tt0014900,Comedy
tt0014925,Comedy
tt0014945,"Comedy, Romance"
tt0014972,"Drama, Romance, Thriller"
tt0014982,"Comedy, Romance"
tt0015002,Comedy
tt0015014,"Adventure, Drama, Mystery"
tt0015016,"History, Romance, Western"
tt0015018,"Drama, Romance"
tt0015022,"Drama, History, Romance"
tt0015036,Drama
tt0015064,Drama
tt0015116,"Drama, Comedy"
tt0015119,Comedy
tt0015136,"Drama, Romance"
tt0015145,"Drama, Romance"
tt0015163,"Action, Comedy, Romance"
tt0015167,Comedy
tt0015174,"Adventure, Drama, Fantasy"
tt0015175,"Adventure, Drama, Fantasy"
tt0015200,Comedy
tt0015202,"Crime, Horror, Mystery"
tt0015213,"Comedy, Romance"
tt0015214,Sci-Fi
tt0015224,"Adventure, Fantasy, Family"
tt0015268,Drama
tt0015289,"Drama, History"
tt0015310,"Adventure, Drama, Romance"
tt0015312,Drama
tt0015324,"Action, Comedy, Romance"
tt0015361,Drama
tt0015400,"Adventure, Family, Fantasy"
tt0015493,Drama
tt0015498,"Drama, Romance"
tt0015500,"Comedy, Drama"
tt0015518,Romance
tt0015532,"Animation, Adventure, Family"
tt0015624,"Drama, Romance, War"
tt0015634,Drama
tt0015643,Western
tt0015648,"Drama, History, Thriller"
tt0015684,Drama
tt0015687,"Adventure, Romance, Western"
tt0015693,"Drama, Romance"
tt0015758,"Adventure, Romance"
tt0015768,Drama
tt0015772,"Action, Comedy, Drama"
tt0015794,"Drama, Fantasy"
tt0015801,Drama
tt0015841,"Comedy, Family, Romance"
tt0015842,Drama
tt0015847,Drama
tt0015861,"Drama, Romance"
tt0015863,"Comedy, Western"
tt0015864,"Adventure, Comedy, Drama"
tt0015872,Drama
tt0015881,"Drama, Thriller, Western"
tt0015883,Drama
tt0015909,Comedy
tt0015935,"Biography, Drama, History"
tt0016004,Comedy
tt0016005,"Drama, Romance"
tt0016006,Drama
tt0016013,"Action, Comedy, Drama"
tt0016023,"Drama, Romance"
tt0016028,"Drama, Comedy"
tt0016029,"Comedy, Family, Musical"
tt0016039,"Adventure, Fantasy, Thriller"
tt0016104,"Drama, Romance"
tt0016123,"Comedy, Horror, Mystery"
tt0016142,Drama
tt0016185,"Action, Adventure"
tt0016201,"Crime, Drama, Romance"
tt0016205,"Comedy, Crime, Romance"
tt0016220,Horror
tt0016226,"Comedy, Romance, Sport"
tt0016230,"Drama, Romance"
tt0016232,Drama
tt0016240,Drama
tt0016241,"Comedy, Drama"
tt0016258,"Drama, Comedy"
tt0016276,"Biography, Drama, Romance"
tt0016288,"Action, Drama, Western"
tt0016294,"Drama, Fantasy, Romance"
tt0016308,Comedy
tt0016309,"Comedy, Drama"
tt0016310,Drama
tt0016332,"Comedy, Romance"
tt0016338,"Adventure, Fantasy, Sci-Fi"
tt0016377,Drama
tt0016392,Drama
tt0016394,Comedy
tt0016395,Drama
tt0016461,Western
tt0016473,"Crime, Drama, Romance"
tt0016480,Western
tt0016481,"Crime, Drama, Romance"
tt0016491,"Drama, Mystery, Romance"
tt0016493,"Comedy, Drama, Fantasy"
tt0016544,"Comedy, Family, Fantasy"
tt0016545,"Adventure, Drama, Romance"
tt0016548,"Comedy, Drama"
tt0016559,Comedy
tt0016560,"Action, Comedy, Drama"
tt0016563,Drama
tt0016627,"Drama, Romance"
tt0016629,"Mystery, Thriller"
tt0016630,"Action, Comedy, Romance"
tt0016634,"Action, Adventure, Drama"
tt0016640,"Crime, Drama, Horror"
tt0016643,"Comedy, War, Drama"
tt0016646,"Comedy, Romance"
tt0016654,"Adventure, Action"
tt0016655,"Crime, Drama, Romance"
tt0016664,"Action, Drama"
tt0016669,"Drama, Romance"
tt0016672,"Comedy, Romance"
tt0016690,"Action, Drama, Romance"
tt0016691,"Drama, Romance"
tt0016762,Drama
tt0016804,"Adventure, Romance"
tt0016822,"Comedy, Romance"
tt0016827,"Comedy, Romance"
tt0016832,"Comedy, Romance"
tt0016847,"Drama, Fantasy, Horror"
tt0016854,Comedy
tt0016871,Comedy
tt0016884,"Drama, Romance"
tt0016895,"Action, Comedy, Romance"
tt0016914,Drama
tt0016939,Western
tt0016947,"Action, Comedy, War"
tt0016953,Drama
tt0016971,Comedy
tt0017004,"Adventure, Comedy, Romance"
tt0017028,"Comedy, Romance"
tt0017029,Comedy
tt0017048,"Drama, Thriller"
tt0017075,"Crime, Drama, Mystery"
tt0017082,"Comedy, Drama, Romance"
tt0017096,"Action, Drama, Fantasy"
tt0017103,"Drama, Fantasy, Horror"
tt0017119,Comedy
tt0017120,"Drama, War"
tt0017128,Drama
tt0017136,"Drama, Sci-Fi"
tt0017159,"Adventure, Comedy, Crime"
tt0017184,Comedy
tt0017195,Drama
tt0017196,"Drama, Romance"
tt0017198,"Biography, Drama, History"
tt0017226,"Drama, History"
tt0017271,Drama
tt0017293,Comedy
tt0017329,Drama
tt0017338,Comedy
tt0017350,Drama
tt0017354,"Action, Adventure, Fantasy"
tt0017374,"Romance, Drama"
tt0017378,Drama
tt0017382,"Comedy, Drama"
tt0017409,Comedy
tt0017410,Comedy
tt0017416,"Adventure, Drama, Romance"
tt0017419,"Drama, Romance"
tt0017423,Drama
tt0017437,Comedy
tt0017438,"Drama, Horror"
tt0017448,Drama
tt0017449,"Drama, Romance"
tt0017463,"Romance, Western"
tt0017480,"Drama, Romance"
tt0017483,"Adventure, Comedy, Romance"
tt0017519,"Drama, Romance"
tt0017534,"Drama, Romance, Sport"
tt0017540,"Comedy, Drama, War"
tt0017567,"Drama, Romance, Western"
tt0017619,"Drama, Romance"
tt0017621,"Drama, Fantasy, Horror"
tt0017632,"Drama, Romance"
tt0017653,Drama
tt0017662,"Drama, Romance, War"
tt0017667,"Adventure, Drama, History"
tt0017726,Drama
tt0017735,"Drama, Romance"
tt0017736,"Biography, Drama"
tt0017739,"Comedy, Horror, Mystery"
tt0017750,"Comedy, Crime, Drama"
tt0017751,"Drama, Romance"
tt0017765,"Comedy, Drama, Sport"
tt0017809,"Comedy, Drama, Romance"
tt0017825,"Adventure, Drama, Thriller"
tt0017832,"Drama, Sport"
tt0017843,"Romance, Thriller"
tt0017860,Comedy
tt0017886,"Comedy, Drama"
tt0017918,"Adventure, Romance"
tt0017925,"Action, Adventure, Comedy"
tt0017928,"Comedy, Romance"
tt0017938,"Drama, Romance"
tt0017961,"Comedy, Drama"
tt0017998,"Drama, Romance"
tt0018014,"Drama, War"
tt0018016,"Drama, Romance"
tt0018033,"Comedy, Romance"
