imdb_title_id,title,year,usa_gross_income
tt0013951,I pionieri,1923,
tt0014029,The Extra Girl,1923,
tt0014108,Il vecchio castello,1923,
tt0014109,La leggenda di Gosta Berlings,1924,
tt0014112,Haldane of the Secret Service,1923,
tt0014142,Il gobbo di Notre Dame,1923,
tt0014205,Little Old New York,1923,2400000
tt0014341,Accidenti che ospitalità!,1923,
tt0014358,Il pellegrino,1923,280171
tt0014397,Raskolnikow,1923,
tt0014416,Rosita,1923,
tt0014417,La rosa sulle rotaie,1923,
tt0014429,Preferisco l'ascensore,1923,
tt0014440,Scaramouche,1923,
tt0014446,Il tesoro,1923,
tt0014463,The Shock,1923,
tt0014497,Souls for Sale,1923,
tt0014516,Die Straße,1923,
tt0014524,La notte di San Silvestro,1924,
tt0014532,I dieci comandamenti,1923,
tt0014538,"Senti, amore mio",1923,
tt0014586,Das Wachsfigurenkabinett,1924,
tt0014604,The White Rose,1923,
tt0014605,La suora bianca,1923,657532
tt0014606,White Tiger,1923,
tt0014611,Perché preoccuparsi?,1923,
tt0014624,La donna di Parigi,1923,
tt0014636,Zaza,1923,427875
tt0014646,Aelita,1924,
tt0014672,America,1924,
tt0014702,Beau Brummel,1924,290705
tt0014721,Black Oxen,1923,
tt0014760,Captain January,1924,
tt0014770,The Chechahcos,1923,
tt0014826,Dante's Inferno,1924,259784
tt0014854,Dorothy Vernon of Haddon Hall,1924,
tt0014869,The Enchanted Cottage,1924,
tt0014874,The Family Secret,1924,
tt0014898,La fille de l'eau,1925,
tt0014900,Finanze del granduca,1924,
tt0014925,La zarina,1924,
tt0014945,Tutte e nessuna,1924,
tt0014972,Quello che prende gli schiaffi,1924,
tt0014982,Her Night of Romance,1924,
tt0015002,Il re degli scapoli,1924,
tt0015014,Futurismo,1924,
tt0015016,Il cavallo d'acciaio,1924,
tt0015018,Isn't Life Wonderful,1924,
tt0015022,Janice Meredith,1924,
tt0015036,Kean,1924,
tt0015064,L'ultima risata,1924,94812
tt0015116,Manhandled,1924,
tt0015119,Matrimonio in quattro,1924,
tt0015136,Michael,1924,
tt0015145,Monsieur Beaucaire,1924,556826
tt0015163,Il navigatore,1924,
tt0015167,Le straordinarie avventure di mr. West nel paese dei bolscevichi,1924,
tt0015174,I Nibelunghi: La vendetta di Crimilde,1924,
tt0015175,I Nibelunghi: Sigfrido,1924,
tt0015200,Open All Night,1924,
tt0015202,Orlacs Hände,1924,
tt0015213,Papirosnitsa ot Mosselproma,1924,
tt0015214,Paris qui dort,1924,
tt0015224,Peter Pan,1924,630229
tt0015268,The Red Lily,1924,
tt0015289,Romola,1924,497234
tt0015310,The Sea Hawk,1924,780187
tt0015312,Secrets,1924,470454
tt0015324,La palla n° 13,1924,977375
tt0015361,Sciopero,1925,
tt0015400,Il ladro di Bagdad,1924,
tt0015493,L'ombra bianca,1924,
tt0015498,Arance selvatiche,1924,
tt0015500,Il vino della giovinezza,1924,
tt0015518,Yolanda,1924,
tt0015532,Le avventure del principe Achmed,1926,
tt0015624,La grande parata,1925,
tt0015634,Body and Soul,1925,
tt0015643,Braveheart,1925,
tt0015648,La corazzata Potemkin,1925,51198
tt0015684,The Circle,1925,
tt0015687,Clash of the Wolves,1925,
tt0015693,Cobra,1925,
tt0015758,Don Q Son of Zorro,1925,
tt0015768,L'angelo del focolare,1925,
tt0015772,Aquila nera,1925,323150
tt0015794,Il fantasma del Moulin Rouge,1925,
tt0015801,Il fu Mattia Pascal,1926,
tt0015841,Viva lo sport,1925,1392
tt0015842,La via senza gioia,1925,
tt0015847,Furusato no uta,1926,
tt0015861,La fidanzata di Glomdal,1926,
tt0015863,Io e la vacca,1925,
tt0015864,La febbre dell'oro,1925,
tt0015872,The Goose Woman,1925,
tt0015881,Rapacità,1924,
tt0015883,Gribiche,1926,
tt0015909,Her Sister from Paris,1925,230306
tt0015935,El húsar de la muerte,1925,
tt0016004,Il ventaglio di Lady Windermere,1925,
tt0016005,Lady of the Night,1925,205550
tt0016006,The Lady,1925,190048
tt0016013,Lazybones,1925,
tt0016023,Lights of Old Broadway,1925,
tt0016028,Little Annie Rooney,1925,1100000
tt0016029,Il piccolo colonnello,1935,
tt0016039,Un mondo perduto,1925,1194450
tt0016104,La vedova allegra,1925,
tt0016123,The Monster,1925,
tt0016142,The Mystic,1925,
tt0016185,Orochi,1925,
tt0016201,Parisian Love,1925,
tt0016205,Paths to Paradise,1925,
tt0016220,Il fantasma dell'opera,1925,3751476
tt0016226,The Plastic Age,1925,
tt0016230,Il labirinto delle passioni,1925,
tt0016232,Poil de carotte,1925,
tt0016240,Prem Sanyas,1925,
tt0016241,Pretty Ladies,1925,
tt0016258,The Rag Man,1925,
tt0016276,The Red Kimona,1925,
tt0016288,Riders of the Purple Sage,1925,
tt0016294,The Road to Yesterday,1925,
tt0016308,Zingaresca,1925,304081
tt0016309,"Sally, Irene and Mary",1925,
tt0016310,The Salvation Hunters,1925,
tt0016332,Le sette probabilità,1925,210748
tt0016338,She,1925,
tt0016377,Soul-Fire,1925,
tt0016392,Die Stadt ohne Juden,1924,
tt0016394,Stage Struck,1925,241507
tt0016395,Stella Dallas,1925,
tt0016461,Tumbleweeds,1925,
tt0016473,Il trio infernale,1925,
tt0016480,The Vanishing American,1925,286809
tt0016481,Varieté,1925,709613
tt0016491,Visages d'enfants,1925,
tt0016493,Il viaggio immaginario,1926,
tt0016544,Il mago di Oz,1925,
tt0016545,Wolfblood,1925,
tt0016548,A Woman of the World,1925,
tt0016559,Zakroyshchik iz Torzhka,1925,
tt0016560,Zander the Great,1925,264738
tt0016563,L'erede dei Grishus,1925,
tt0016627,Bardelys il magnifico,1926,490467
tt0016629,The Bat,1926,
tt0016630,Se perdo la pazienza...,1926,702114
tt0016634,Beau Geste,1926,1708926
tt0016640,The Bells,1926,
tt0016643,The Better 'Ole,1926,
tt0016646,Beverly of Graustark,1926,315862
tt0016654,Il pirata nero,1926,
tt0016655,Il corvo,1926,
tt0016664,L'aquila azzurra,1926,
tt0016669,La Bohème,1926,
tt0016672,The Boob,1926,
tt0016690,Brown of Harvard,1926,
tt0016691,Brudeferden i Hardanger,1926,
tt0016762,Dancing Mothers,1926,
tt0016804,Don Juan,1926,
tt0016822,Ella Cinders,1926,
tt0016827,Eve's Leaves,1926,
tt0016832,Exit Smiling,1926,
tt0016847,Faust,1926,
tt0016854,Le disgrazie di adamo,1926,
tt0016871,Fine Manners,1926,262300
tt0016884,La carne e il diavolo,1926,
tt0016895,Il re degli straccioni,1926,577310
tt0016914,Geheimnisse einer Seele,1926,
tt0016939,The Great K & A Train Robbery,1926,
tt0016947,Hands Up!,1926,
tt0016953,La montagna dell'amore,1926,
tt0016971,His First Flame,1927,
tt0017004,It's the Old Army Game,1926,
tt0017028,Kid Boots,1926,314332
tt0017029,Kiki,1926,414115
tt0017048,Una pagina di follia,1926,
tt0017075,Il pensionante,1927,
tt0017082,Love 'Em and Leave 'Em,1926,
tt0017096,Maciste all'inferno,1925,
tt0017103,The Magician,1926,
tt0017119,Mantrap,1926,
tt0017120,Mare Nostrum,1926,620079
tt0017128,La madre,1926,
tt0017136,Metropolis,1927,1236166
tt0017159,Miss Mend,1926,
tt0017184,My Lady of Whims,1925,
tt0017195,Namus,1925,
tt0017196,Nanà,1926,
tt0017198,Nell Gwyn,1926,
tt0017226,Old Ironsides,1926,1434461
tt0017271,Secondo la legge,1926,
tt0017293,Protsess o tryokh millionakh,1926,
tt0017329,The Road to Mandalay,1926,
tt0017338,Der Rosenkavalier,1925,
tt0017350,La lettera rossa,1926,
tt0017354,Il mostro del mare,1926,
tt0017374,La corsa a ostacoli di Shamrock,1926,
tt0017378,Shinel,1926,
tt0017382,The Show-Off,1926,
tt0017409,La vita è un charleston,1926,
tt0017410,So's Your Old Man,1926,
tt0017416,Il figlio dello sceicco,1926,716850
tt0017419,The Sorrows of Satan,1926,
tt0017423,Passerotti,1926,
tt0017437,La grande sparata,1926,
tt0017438,Der Student von Prag,1926,
tt0017448,Tartufo,1925,
tt0017449,La tentatrice,1926,
tt0017463,I tre furfanti,1926,
tt0017480,Torrent,1926,
tt0017483,Di corsa dietro un cuore,1926,243700
tt0017519,The Volga Boatman,1926,
tt0017534,L'allievo di West Point,1927,
tt0017540,Gloria,1926,
tt0017567,Fiore del deserto,1926,
tt0017619,Almost Human,1927,
tt0017621,La mandragora,1928,
tt0017632,Annie Laurie,1927,
tt0017653,Baby ryazanskie,1927,
tt0017662,Barbed Wire,1927,
tt0017667,The Beloved Rogue,1927,
tt0017726,Café Elektric,1927,
tt0017735,Captain Salvation,1927,
tt0017736,Casanova,1927,
tt0017739,Il castello degli spettri,1927,325550
tt0017750,Chicago,1927,
tt0017751,I figli del divorzio,1927,
tt0017765,Tuo per sempre,1927,
tt0017809,La ragazza con la cappelliera,1927,
tt0017825,Il declino,1927,
tt0017832,L'atleta innamorato,1927,
tt0017843,Fragile virtù,1927,
tt0017860,The Fair Co-Ed,1927,
tt0017886,The First Auto,1927,
tt0017918,The Gaucho,1927,
tt0017925,Come vinsi la guerra,1926,
tt0017928,Get Your Man,1927,
tt0017938,La glace à trois faces,1983,
tt0017961,La Felicità,1935,
tt0017998,Hindle Wakes,1927,
